trace	posterior	likelihood	prior	b	nCarryingCapacity	t50	tree.height	tree.treeLength	treeLikelihood
mean	-4869.26772084073	-4781.41146995438	-87.8562508863456	15.610433295738	128.794275006186	1.19225017915522	1.74762969340564	53.3364402914989	-4781.41146995438
stderr.of.mean	0.100093008738058	0.069677849578534	0.0876566011211356	0.0650787235795635	0.17559847935919	0.00122822904718119	0.00102632678585694	0.0211746922001002	0.069677849578534
stdev	8.06898483590788	5.8786320679687	5.83441236041897	3.58974864356349	32.2806317386547	0.0719513509444913	0.0939298686363174	2.13610200410646	5.8786320679687
variance	65.1085162821113	34.55831499055	34.0403675914096	12.8862953239659	1042.03918544664	0.00517699690273735	0.00882282022203584	4.56293177194763	34.55831499055
median	-4868.98228102475	-4780.93548424774	-87.8880815091003	15.0931321521719	124.440674393292	1.19198054834249	1.743373629108	53.295605489277	-4780.93548424774
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	15.2257022659205	124.983868492992	1.19007297053422	1.7451195257793	53.2936907527255	NaN
HPD95.lower	-4905.30627657766	-4815.81492142912	-111.289359200197	6.38212671576072	50.0750996415344	0.907762311349462	1.41898163012417	45.1399021439619	-4815.81492142912
HPD95.upper	-4856.56233873602	-4772.58585878268	-78.2082454972574	22.2127125418939	187.864544130789	1.31174885390714	1.90930533700709	56.8920339764198	-4772.58585878268
ACT	6924.40088397307	6321.92635656137	10157.5162578871	14789.8062971573	1331.58828054698	13112.7365724065	5372.49983511393	4421.83721739682	6321.92635656137
ESS	6498.90160232598	7118.24172916766	4430.31533078352	3042.70381206071	33794.9805186891	3431.85419393666	8376.17522217117	10176.9915506959	7118.24172916766
n.samples	45001	45001	45001	45001	45001	45001	45001	45001	45001
chain.length	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07
log.every	1000	1000	1000	1000	1000	1000	1000	1000	1000
