trace	posterior	likelihood	prior	NC	r	tau	x	tree.height	tree.treeLength	treeLikelihood
mean	-47458.6475770475	-47174.8539418536	-283.793635193959	3075.23495560997	0.116388904800809	69.5238976963441	38.8194783227767	174.455250767972	2581.65431912041	-47174.8539418536
stderr.of.mean	0.0465684584055959	0.0448556555739041	0.0184444042379422	7.64382732088027	0.000224059950558854	0.0388842823742384	0.0286870500628149	0.112055530407907	0.337308467270707	0.0448556555739041
stdev	4.97523517064302	4.7031114284915	2.31884407478189	952.933663305169	0.0238286032423253	4.61378174131625	3.28840782693787	14.168564662026	42.1422614026575	4.7031114284915
variance	24.7529650032033	22.1192571088074	5.37703784315106	908082.56666021	0.000567802332480158	21.2869819565032	10.8136260362663	200.748224582012	1775.97019612992	22.1192571088074
median	-47458.2749296023	-47174.4908659551	-283.688485623636	2904.99662192678	0.114405447888539	69.079024098076	38.7414437078137	172.265334005404	2578.2852415321	-47174.4908659551
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	2943.54861950685	0.114007297643028	69.37345894114	38.6805108108549	173.933633457915	2581.3137814113	NaN
HPD95.lower	-47485.6865423569	-47197.741710375	-300.196247879889	1084.94977450649	0.0303290600125584	58.3836977868197	27.0477714764332	142.170440946009	2418.4456449463	-47197.741710375
HPD95.upper	-47451.1663090834	-47167.7791805804	-280.256904622217	4851.64800919217	0.158497486800919	77.7919116043275	44.3252320411078	198.297221384812	2652.05802075441	-47167.7791805804
ACT	1638.58044458407	1701.27747727067	1183.30702654624	1203.39352231732	1653.64610393509	1328.45044045658	1423.350010194	1169.83914841466	1198.20212562692	1701.27747727067
ESS	11414.7584647562	10994.0913518743	15806.5485798661	15542.712880806	11310.7635034432	14079.56174381	13140.8296385586	15988.5228882511	15610.0540968526	10994.0913518743
n.samples	18704	18704	18704	18704	18704	18704	18704	18704	18704	18704
chain.length	20781000	20781000	20781000	20781000	20781000	20781000	20781000	20781000	20781000	20781000
log.every	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
