trace	posterior	likelihood	prior	NC	r	tau	x	tree.height	tree.treeLength	treeLikelihood
mean	-51714.4787551713	-51428.7495137252	-285.729241446082	6448.02396424337	0.153246125140811	67.9105619565736	41.0211959002455	543.086901714298	4032.56888456702	-51428.7495137252
stderr.of.mean	0.0561079226475947	0.0514565521369205	0.0290509005442251	20.5487802750533	0.000413696004769569	0.0649968521094863	0.0349903627740508	1.81744217860186	4.1635952731615	0.0514565521369205
stdev	5.40519880472902	4.7924100374033	2.98038936863765	2445.66442935526	0.0366287485334321	5.97592075111801	3.28693976849647	240.837539624979	526.467707183647	4.7924100374033
variance	29.2161741186441	22.9671939666039	8.88272078868831	5981274.50101357	0.0013416652191254	35.7116288236429	10.8039730417236	58002.7204926134	277168.246707207	22.9671939666039
median	-51714.143412658	-51428.3725860114	-285.610095018126	5960.47522433392	0.149532449427422	68.800162688762	41.027521709858	482.753195722792	3919.08020157753	-51428.3725860114
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	6055.85818487023	0.149132629379457	67.6390417473683	40.8888605391106	500.346166089768	4001.2823819504	NaN
HPD95.lower	-51741.6813793902	-51455.2801238636	-299.388336104187	1492.38588703538	0.0234041526011794	49.8823793229606	29.0343805393612	206.275079568427	3147.38549427363	-51455.2801238636
HPD95.upper	-51706.2559212447	-51421.5884899053	-281.082263658374	10983.2290062584	0.215806060248314	75.882895791516	46.4534021023035	1023.99916739534	5060.71713816089	-51421.5884899053
ACT	2119.69585060504	2267.88977012037	1869.05336989684	1388.75897024225	2509.38331894005	2327.14531452226	2229.26610666168	1120.26651887454	1230.38790607391	2267.88977012037
ESS	9281.04850249368	8674.58386169969	10525.6491424243	14165.8850970866	7839.77475721397	8453.70500812009	8824.87736264929	17560.9996983255	15989.2663954861	8674.58386169969
n.samples	19673	19673	19673	19673	19673	19673	19673	19673	19673	19673
chain.length	21858000	21858000	21858000	21858000	21858000	21858000	21858000	21858000	21858000	21858000
log.every	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
