trace	posterior	likelihood	prior	NC	r	tau	x	tree.height	tree.treeLength	treeLikelihood
mean	-46492.1422790616	-46222.233578032	-269.908701029613	2899.41857859929	0.1328384903522	73.0566395425856	39.7477912065918	172.984439718277	2351.56888747483	-46222.233578032
stderr.of.mean	0.0448262460324757	0.0442031081102272	0.0171607689812457	7.16907390740602	0.000235965605860735	0.0376292203908763	0.0337856065759635	0.101639635610405	0.270567546021717	0.0442031081102272
stdev	5.01768235614216	4.77357150610915	2.15465891412731	873.5661921223	0.0225931144433202	4.72664452936705	3.18956859009305	13.8677589428139	35.5839656740406	4.77357150610915
variance	25.1771362271404	22.7869849239372	4.64255503622826	763117.892019056	0.000510448820248963	22.3411685069954	10.1733477909082	192.314738095995	1266.2186130913	22.7869849239372
median	-46491.8159749187	-46221.8806766564	-269.790706702495	2747.05809992206	0.131461527919975	72.2678775524767	39.6167493125641	171.004071414849	2349.23939607699	-46221.8806766564
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	2781.87315117817	0.130931287079827	72.9079920750198	39.6197572646648	172.458395959903	2351.3013563511	NaN
HPD95.lower	-46515.3897329847	-46244.4688997081	-284.187115746534	1137.55227205158	0.0529174831842032	60.1236116851221	27.684671284472	137.302185638307	2236.89927685355	-46244.4688997081
HPD95.upper	-46484.5185722305	-46215.0677949983	-266.601458907096	4526.89326176155	0.172038138706011	82.4610870453181	45.1447869304583	197.908949641182	2412.55021695465	-46215.0677949983
ACT	1485.74672005954	1596.26546959002	1180.87192612411	1253.77858651691	2030.63363287515	1179.86121780999	2088.74738075789	1000	1076.28944495749	1596.26546959002
ESS	12530.3995281604	11662.8470355758	15765.4692165519	14848.7142787463	9168.07428902889	15778.9744412111	8912.9974124707	18617	17297.3915959339	11662.8470355758
n.samples	18617	18617	18617	18617	18617	18617	18617	18617	18617	18617
chain.length	20685000	20685000	20685000	20685000	20685000	20685000	20685000	20685000	20685000	20685000
log.every	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
