trace	posterior	likelihood	prior	NC	r	tau	x	tree.height	tree.treeLength	treeLikelihood
mean	-48588.861335164	-48314.316385387	-274.544949776984	4052.69872493145	0.178437851257401	60.521153423481	43.6507988185513	337.304275509932	2987.73124241895	-48314.316385387
stderr.of.mean	0.0609396669936209	0.0540547740185289	0.0289592519262033	11.0032847947194	0.000945413641495598	0.0488563990643422	0.0382764754063789	0.940475682372085	2.01877970615737	0.0540547740185289
stdev	5.42758958958705	4.72673714393758	2.97010160815821	1372.72717662119	0.0709796694231177	4.33878936315679	3.53173481120623	126.675212046001	264.77684202683	4.72673714393758
variance	29.4587287529937	22.3420440278792	8.82150356278399	1884379.90143439	0.00503811347141507	18.8250931378425	12.4731507766859	16046.6093468994	70106.7760737007	22.3420440278792
median	-48588.5257444963	-48313.9635350435	-274.521907835815	3795.77787775529	0.17255981239293	59.4885634867554	43.6962616623227	299.787529773912	2914.8766635146	-48313.9635350435
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	3851.39547462268	0.164397729744274	60.3705052232645	43.5058610247402	318.868118686841	2976.976949402	NaN
HPD95.lower	-48615.5369708155	-48336.579858215	-288.961817383171	1304.21404927984	0.0200719192425017	51.7234647352929	29.1160917070294	171.022563274621	2582.99895619038	-48336.579858215
HPD95.upper	-48580.5400682098	-48307.198705187	-269.648546321885	6590.23980299013	0.304528385618714	68.3118974010637	49.3960345470862	588.90321066348	3508.53438360265	-48307.198705187
ACT	2466.54021012071	2558.86430952015	1860.09066059521	1257.12450529758	3471.18557496393	2480.8917975651	2298.21024293442	1078.48450388301	1137.41751747178	2558.86430952015
ESS	7932.97426075305	7646.75169652482	10519.3797348237	15564.8863080338	5636.97894492527	7887.08319290839	8514.0165309751	18143.051596523	17203.0056680444	7646.75169652482
n.samples	19567	19567	19567	19567	19567	19567	19567	19567	19567	19567
chain.length	21740000	21740000	21740000	21740000	21740000	21740000	21740000	21740000	21740000	21740000
log.every	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
