trace	posterior	likelihood	prior	NC	r	tau	x	tree.height	tree.treeLength	treeLikelihood
mean	-47029.9261892108	-46757.3494947827	-272.576694428068	3289.65546978845	0.169032496418562	61.4146070485576	41.3441763770064	294.436369407766	2707.38292379469	-46757.3494947827
stderr.of.mean	0.0538169953681401	0.0510049061317975	0.0233797470691939	8.95941814079825	0.000622454231699328	0.0426646514761098	0.0358982783520296	0.734398818651586	1.57396640331648	0.0510049061317975
stdev	5.21038231391311	4.68371341266607	2.67803961265489	1063.24239822325	0.0513068231819767	4.37255485209499	3.25714589660026	92.0869215639531	192.721722290488	4.68371341266607
variance	27.1480838571385	21.937171331988	7.17189616694876	1130484.39737953	0.00263239010502662	19.1192359345795	10.6089993917399	8480.00112312564	37141.6622426121	21.937171331988
median	-47029.5963330546	-46757.0462291634	-272.494373715296	3099.43561963764	0.165038951377109	60.9309848300734	41.2837323781282	267.696155242243	2655.76287823638	-46757.0462291634
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	3138.26657906793	0.161258909543076	61.2626461330523	41.2155153252883	283.079318006846	2701.0076487549	NaN
HPD95.lower	-47057.9717687282	-46782.4820771372	-289.450247643942	1146.99974400709	0.0237722032843221	50.9360492096044	29.6391730530881	173.115225020942	2402.96519782082	-46782.4820771372
HPD95.upper	-47021.9708525139	-46750.2743069092	-268.297714719125	5281.40558138553	0.257651099441748	68.8587913653418	46.835446320811	476.91227512466	3084.66435146688	-46750.2743069092
ACT	1795.17340474994	1995.49190945729	1282.48506665535	1194.81793249598	2476.6879499528	1602.0370851351	2043.99349875928	1070.2240904577	1122.37057642277	1995.49190945729
ESS	9374.02479084972	8433.00838266825	13121.4003480653	14084.1541981599	6794.55803074454	10504.1263751899	8232.90289827963	15723.8097610036	14993.2654628513	8433.00838266825
n.samples	16828	16828	16828	16828	16828	16828	16828	16828	16828	16828
chain.length	18697000	18697000	18697000	18697000	18697000	18697000	18697000	18697000	18697000	18697000
log.every	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
