trace	posterior	likelihood	prior	NC	r	tau	x	tree.height	tree.treeLength	treeLikelihood
mean	-49015.1746960039	-48727.0894734472	-288.085222556715	3839.37611742678	0.0931287859967265	73.839038044911	41.4744666271471	325.144123421717	3217.51201372214	-48727.0894734472
stderr.of.mean	0.0546305308734466	0.0491474863045916	0.0272737797910188	9.48210013452462	0.000203458622357077	0.0280944075319669	0.0317687569561157	0.59434857409283	1.36570394758437	0.0491474863045916
stdev	5.3160610600791	4.81603367716059	3.15878636520781	1216.07918092598	0.0216997555152187	3.43825953426068	3.7217156273304	79.9912992807267	174.871991652034	4.81603367716059
variance	28.2605051944894	23.194180379545	9.9779313010228	1478848.57428161	0.000470879389420264	11.8216286249345	13.8511672107153	6398.60796061878	30580.2134643492	23.194180379545
median	-49014.8764418515	-48726.7771971064	-287.977170228517	3620.50868921937	0.0916919124937914	73.3076354914851	41.2707646716487	305.997372498169	3182.48003376178	-48726.7771971064
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	3668.87563510881	0.0906084420040665	73.7608754482089	41.3086737414367	316.72798364702	3212.94769266619	NaN
HPD95.lower	-49040.1227979915	-48749.4241635377	-303.937158231217	1319.8847058	0.0275215066026069	64.0934382380455	26.963207685969	179.429843633241	2840.16664431892	-48749.4241635377
HPD95.upper	-49006.9448192405	-48719.7408352345	-283.162215999996	6136.18753761896	0.130537957439388	80.449295408716	47.8738625204184	481.555372364873	3550.30824494423	-48719.7408352345
ACT	2047.92252002406	2019.51085405167	1445.68192516779	1178.98415655786	1704.76734857197	1294.74739308244	1412.98214356111	1070.58104452284	1182.75615875892	2019.51085405167
ESS	9469.59653521077	9602.82038647751	13414.430700411	16448.9063675117	11375.7457967768	14978.2112739618	13724.8726662067	18114.4623279254	16396.4481236346	9602.82038647751
n.samples	19393	19393	19393	19393	19393	19393	19393	19393	19393	19393
chain.length	21547000	21547000	21547000	21547000	21547000	21547000	21547000	21547000	21547000	21547000
log.every	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
