trace	posterior	likelihood	prior	NC	r	tau	x	tree.height	tree.treeLength	treeLikelihood
mean	-45418.2620341159	-45150.5023757449	-267.75965837101	2307.72974616083	0.171779329725524	64.4037614651626	37.0233053977972	210.114519814378	2190.91025333691	-45150.5023757449
stderr.of.mean	0.0468022308750176	0.0444743200166766	0.0185018948685049	5.47355102336056	0.000324917119992473	0.0411995130240298	0.0237979427519672	0.363909041673878	0.740975026054108	0.0444743200166766
stdev	5.05347629422825	4.68613835018651	2.20464147633143	661.943944562031	0.0298042605737807	4.79868456326214	2.39747683383731	47.395883639739	96.616127173371	4.68613835018651
variance	25.5376226563269	21.9598926370887	4.86044403916084	438169.785742342	0.000888293948349816	23.0273735376904	5.74789516878658	2246.36978599168	9334.67602998099	21.9598926370887
median	-45417.9049745074	-45150.1199794311	-267.568336631653	2196.12276030083	0.168914583952921	64.8649723689031	37.0705093022441	197.495547601246	2167.99300755121	-45150.1199794311
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	2221.92251272744	0.169325496206896	64.2228859794957	36.9450409640925	205.817408657368	2188.89803137412	NaN
HPD95.lower	-45441.7539884123	-45174.9222200202	-281.403976816219	893.290917431011	0.0760009829445639	47.084913973124	27.189415341003	137.596990866794	2007.22270784407	-45174.9222200202
HPD95.upper	-45410.6512104005	-45143.4759576623	-264.507497469548	3525.60062682755	0.224407580069901	71.397656380067	40.9048873299549	302.071432945009	2378.0105537934	-45143.4759576623
ACT	1486.96771972125	1561.48320649922	1220.97105202318	1185.34510706418	2060.33283387335	1277.87583153958	1708.12201066368	1022.00575200362	1019.66330006013	1561.48320649922
ESS	11659.2981609917	11102.9051915767	14199.3538432153	14626.1201878495	8414.6598622161	13567.0458522659	10149.7433390392	16963.7010026717	17002.6713710081	11102.9051915767
n.samples	17337	17337	17337	17337	17337	17337	17337	17337	17337	17337
chain.length	19262000	19262000	19262000	19262000	19262000	19262000	19262000	19262000	19262000	19262000
log.every	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
