trace	posterior	likelihood	prior	NC	r	tau	x	tree.height	tree.treeLength	treeLikelihood
mean	-41691.6628911982	-41452.8651429843	-238.797748213912	2543.83329727358	0.338897755980904	67.200439608157	34.3670099163734	56.1635745070409	1610.37011440904	-41452.8651429843
stderr.of.mean	0.0674370339241614	0.05100452655047	0.0561824049468806	7.1325538551034	0.000554942267117433	0.078951118629248	0.0207775436019603	0.00978490578001672	0.136395358023296	0.05100452655047
stdev	5.29838021023801	4.93682676651677	2.38375423389921	798.06669793901	0.039722792121571	6.55794606681001	1.54721244786034	0.861094772266653	16.6819035279671	4.93682676651677
variance	28.0728328522418	24.3722585225964	5.68228424763239	636910.454359275	0.00157790021393354	43.0066566151888	2.39386635881398	0.74148420682496	278.285905316402	24.3722585225964
median	-41691.3123751475	-41452.4629961518	-238.76912582026	2403.71413009555	0.337208981627076	66.7418006083991	34.4011789998402	56.1516833014822	1610.20265242027	-41452.4629961518
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	2433.4489414911	0.336576584252836	66.886756535924	34.3319747316036	56.156978687321	1610.28372091019	NaN
HPD95.lower	-41718.1989753877	-41478.1480814415	-252.706471665384	868.677603887977	0.202004667931639	54.3464975388799	28.1605125908932	52.9487276688113	1535.93654436372	-41478.1480814415
HPD95.upper	-41683.6807507544	-41445.4100248303	-235.175636777934	4045.35703078729	0.407411507265261	78.7803039189558	36.8540852486775	57.6126527660237	1637.90038839886	-41445.4100248303
ACT	3026.77779008092	1994.30474420604	10378.8098162512	1492.38748658274	3646.58155114977	2708.0130414664	3369.44491289685	2412.57736217039	1249.04425726744	1994.30474420604
ESS	6173.23150091586	9369.17993816373	1800.30276407445	12520.2068283116	5123.97700090064	6899.89291553855	5545.42379621091	7744.82936505329	14959.4378992443	9369.17993816373
n.samples	18685	18685	18685	18685	18685	18685	18685	18685	18685	18685
chain.length	20760000	20760000	20760000	20760000	20760000	20760000	20760000	20760000	20760000	20760000
log.every	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
