trace	posterior	likelihood	prior	NC	r	tau	x	tree.height	tree.treeLength	treeLikelihood
mean	-47620.1026257835	-47375.3955974738	-244.707028309695	6926.60843907303	0.177747336015728	60.730139975409	43.6874192279954	164.701549286485	2600.71895469679	-47375.3955974738
stderr.of.mean	0.134821361527372	0.0752199167096174	0.146898700783672	26.1610302268146	0.00202724592830625	0.0781390773005333	0.0543402434143582	0.0920247570008703	0.590567438900101	0.0752199167096174
stdev	7.36636392225472	5.39008844541278	6.77691728071875	2725.24908574795	0.0835605508561532	2.8913299412652	3.67019377722307	11.3760740553049	37.498742133347	5.39008844541278
variance	54.2633174350959	29.0530534493723	45.9266078297044	7426982.57937003	0.00698236565938377	8.35978882925663	13.4703223623669	129.415060911781	1406.15566158325	29.0530534493723
median	-47620.100044515	-47375.1367865596	-245.027159954333	6379.16511544426	0.159156444751123	59.8117614929564	43.6664252669293	163.16006326842	2598.7474956967	-47375.1367865596
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	6475.56869876896	0.159086507361305	60.664023604577	43.5322212191644	164.34162385801	2600.45062282218	NaN
HPD95.lower	-47650.3082522453	-47402.3156169769	-263.341198873794	1955.30657057207	0.0189389126107372	55.1512730656741	29.7140091100147	139.716593223672	2477.39449371951	-47402.3156169769
HPD95.upper	-47608.1301041752	-47366.9951254786	-233.260757945616	12051.0169916368	0.335389102286029	67.18064424655	49.779734721922	183.338986164859	2663.33643924513	-47366.9951254786
ACT	6208.40776647668	3609.4669597592	8708.44669132439	1707.91572585174	10908.8618636949	13536.6252941323	4062.8831057942	1212.81258539522	4597.00265221499	3609.4669597592
ESS	2985.46756224402	5135.10726282878	2128.3933469404	10852.409003235	1699.07734020221	1369.2482134402	4562.03132538238	15282.6580324114	4031.97505032311	5135.10726282878
n.samples	18535	18535	18535	18535	18535	18535	18535	18535	18535	18535
chain.length	20593000	20593000	20593000	20593000	20593000	20593000	20593000	20593000	20593000	20593000
log.every	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
