trace	posterior	likelihood	prior	NC	r	tau	x	tree.height	tree.treeLength	treeLikelihood
mean	-33413.6897381818	-33166.3746755875	-247.315062594308	752.285849453997	0.426696085386517	67.0106913122245	33.0152523773911	48.2848414943997	1097.12864709715	-33166.3746755875
stderr.of.mean	0.0455887444031192	0.04389861434737	0.0160361658578783	1.51590930631381	0.00101108850114267	0.0526518311241326	0.0230101411728239	0.00697477213536666	0.0998637061884466	0.04389861434737
stdev	4.99065391955016	4.78264529439761	1.8172760588729	177.168118981032	0.0737253368421079	6.7458071659961	1.62235321278359	0.766582028395238	12.7560572756096	4.78264529439761
variance	24.9066265447214	22.8736960120236	3.30249227415262	31388.5423832772	0.00543542529248227	45.5059143208044	2.63202994702923	0.587648006258558	162.716997218632	22.8736960120236
median	-33413.400849319	-33166.0789952105	-247.15130358621	726.678691340873	0.41992800369515	66.6751397789757	33.0229446314364	48.2767646102444	1097.00361076679	-33166.0789952105
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	732.837352480708	0.420471422982284	66.6738830725449	32.9751525266969	48.2787581345903	1097.05450643908	NaN
HPD95.lower	-33442.571196104	-33196.4397584728	-257.790970315118	342.539488019593	0.220380116990086	47.2735790437436	26.2829367441177	45.1874029776886	1045.10881423137	-33196.4397584728
HPD95.upper	-33406.0630956482	-33159.069259493	-244.629158460969	1086.41915988597	0.558127476836744	78.7040144539077	35.6172498641873	49.5612960013152	1118.65638194119	-33159.069259493
ACT	1369.74977815333	1382.94899930697	1278.2039460059	1201.75565734352	3087.34879631822	1000	3302.08786716751	1358.88800814014	1006.05870641937	1382.94899930697
ESS	11984.670676225	11870.285895016	12843.0209054637	13660.0147456659	5317.18347456456	16416	4971.40011421968	12080.4657202531	16317.1392437183	11870.285895016
n.samples	16416	16416	16416	16416	16416	16416	16416	16416	16416	16416
chain.length	18239000	18239000	18239000	18239000	18239000	18239000	18239000	18239000	18239000	18239000
log.every	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
