trace	posterior	likelihood	prior	NC	r	tau	x	tree.height	tree.treeLength	treeLikelihood
mean	-48624.6287627847	-48350.7741793112	-273.854583473526	4335.21836889139	0.117549804754901	71.5883509596673	41.3314701139221	206.357628897503	2755.93639962484	-48350.7741793112
stderr.of.mean	0.0528300137687171	0.0466865834383585	0.0444610195452162	12.0653625363575	0.00032707031590416	0.0482536006435821	0.0333685377579013	0.239591502262226	0.530221327330889	0.0466865834383585
stdev	5.32547003665415	4.84512513745628	3.56431117964336	1457.22190547417	0.0272759919700296	3.86416315156124	3.44473079075927	31.7047503019193	68.4665655654608	4.84512513745628
variance	28.3606311113012	23.4752375976107	12.7043141853306	2123495.68179377	0.000743979737949121	14.9317568618837	11.866170220805	1005.19119170705	4687.67060032955	23.4752375976107
median	-48624.3527790559	-48350.4137010058	-274.243203611078	4073.57537280067	0.117369909138201	71.022330771106	41.2212198838269	199.065377002186	2743.78677789835	-48350.4137010058
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	4120.38357950957	0.114226996219577	71.4870592850001	41.1882381643912	204.263987732819	2755.10742712724	NaN
HPD95.lower	-48650.4266671482	-48377.0914431754	-288.525909344127	1352.17289548937	0.0268656437440913	63.6775560813282	29.2487849814135	141.779518341354	2597.12371076234	-48377.0914431754
HPD95.upper	-48616.3380552049	-48343.4378789675	-267.142078573649	7047.11147708771	0.162798774479039	78.8891113295191	47.1345457434624	265.934823959509	2880.52221456698	-48343.4378789675
ACT	1805.35773713143	1703.30297283697	2854.46895476452	1257.61319276489	2637.78180234233	2860.6600858054	1721.39878660886	1047.6394929807	1100.20854448158	1703.30297283697
ESS	10161.9748943222	10770.8377737658	6427.11491725208	14587.9512918164	6955.08627124081	6413.2051518574	10657.6117879933	17511.7491493212	16675.0204695462	10770.8377737658
n.samples	18346	18346	18346	18346	18346	18346	18346	18346	18346	18346
chain.length	20383000	20383000	20383000	20383000	20383000	20383000	20383000	20383000	20383000	20383000
log.every	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
