trace	posterior	likelihood	prior	NC	r	tau	x	tree.height	tree.treeLength	treeLikelihood
mean	-43417.2414958803	-43129.7862524618	-287.455243418451	1929.04728560353	0.0946271122213579	71.5216913484558	43.7320608442456	282.408008990443	2634.520650389	-43129.7862524618
stderr.of.mean	0.0568081408239123	0.0548487854197804	0.016818814439363	3.92149452903578	0.00022797120326443	0.0354991707762356	0.0311744062676805	0.621797167939794	1.26310410211434	0.0548487854197804
stdev	5.11580498142298	4.82923768175338	2.2406437027482	526.641133198628	0.0269069098185098	4.67759461776083	3.8196486806867	85.2223388322034	172.564290748364	4.82923768175338
variance	26.1714606079521	23.3215365868668	5.02048420266515	277350.883176735	0.000723981795981421	21.8798914081051	14.5897160438717	7262.84703603088	29778.434441486	23.3215365868668
median	-43416.8911444375	-43129.465477331	-287.242318700728	1845.02703249364	0.0912332176225331	71.2371070428572	43.6182803642893	256.713340644116	2586.08220317173	-43129.465477331
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	1864.30002344874	0.0910750303982181	71.370538955018	43.5648285632539	272.497984445782	2629.30853015934	NaN
HPD95.lower	-43440.8344583807	-43153.4241121537	-305.185597781661	758.928767584182	0.0253401755173902	56.7770034490925	28.9312179917468	167.991986832061	2362.87914646169	-43153.4241121537
HPD95.upper	-43409.5165892525	-43122.4587808122	-284.182230353661	2880.86658235873	0.141779106134592	79.8448962613436	50.2391943983953	449.650361738839	2973.33043835179	-43122.4587808122
ACT	2343.97222403722	2452.08848527494	1071.03687303819	1053.98139137238	1364.55676291039	1094.83966795056	1266.21895878469	1011.92855525711	1018.44058814445	2452.08848527494
ESS	8110.1643633206	7752.57504537751	17749.1554945953	18036.3715674783	13931.2636283848	17363.2729581172	15013.2012067216	18785.9112199575	18665.7918206454	7752.57504537751
n.samples	19010	19010	19010	19010	19010	19010	19010	19010	19010	19010
chain.length	21121000	21121000	21121000	21121000	21121000	21121000	21121000	21121000	21121000	21121000
log.every	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
