trace	posterior	likelihood	prior	NC	r	tau	x	tree.height	tree.treeLength	treeLikelihood
mean	-43913.4867858154	-43676.030883106	-237.455902709432	2685.3708191214	0.485903647108085	68.147543022113	45.1774066456696	60.9994345554625	1862.06352742553	-43676.030883106
stderr.of.mean	0.0772133284905544	0.0727960148225892	0.0347342774387273	7.6851207678501	0.00197943084951348	0.0463541332265364	0.0446266646644749	0.0105464360997213	0.168007533733642	0.0727960148225892
stdev	5.93724367443764	5.4787418647848	2.5389205305761	792.332080509256	0.0834738477864971	5.88259633446903	1.82846384017171	0.899968433201216	18.6900000190492	5.4787418647848
variance	35.2508624496497	30.0166124209456	6.44611746058082	627790.125804127	0.00696788326428328	34.6049396343085	3.34328001481547	0.809943180758651	349.316100712058	30.0166124209456
median	-43913.139391779	-43675.6623717684	-237.393484255243	2554.04446046279	0.483484926451113	67.3406285772588	45.367566783659	60.9362819051651	1861.85458278847	-43675.6623717684
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	2580.50873745724	0.478598651797404	67.9022778370132	45.1394563480112	60.9928277839575	1861.96975797012	NaN
HPD95.lower	-43941.87317489	-43702.5258346292	-250.290429019831	981.205537169478	0.225171952263957	58.0278248034946	34.7170640265208	58.1477796473729	1785.66248028813	-43702.5258346292
HPD95.upper	-43904.298260209	-43667.7081517919	-233.439661440126	4172.49721420701	0.626542848557133	79.039446478223	47.7694712648679	62.5700466012006	1893.16893787489	-43667.7081517919
ACT	3084.5514010906	3219.81368560874	3413.46561876672	1715.78996182424	10255.5041069223	1132.44219624141	10864.0890510472	2504.57538531139	1473.7238762163	3219.81368560874
ESS	5913.01542050857	5664.613477954	5343.24995093688	10630.0890002924	1778.45962615225	16105.8993214272	1678.83380873447	7282.27231927872	12376.1311697192	5664.613477954
n.samples	18239	18239	18239	18239	18239	18239	18239	18239	18239	18239
chain.length	20265000	20265000	20265000	20265000	20265000	20265000	20265000	20265000	20265000	20265000
log.every	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
