trace	posterior	likelihood	prior	NC	r	tau	x	tree.height	tree.treeLength	treeLikelihood
mean	-42619.9996274316	-42320.6652567368	-299.334370694768	1302.5867600941	0.0850933190116012	67.1615770802559	44.6452661930393	464.836455607512	3124.95754751314	-42320.6652567368
stderr.of.mean	0.0687707260743128	0.0642195574648853	0.0222586674561016	2.32187071537082	0.000314592387768908	0.0463968425865184	0.037218033093354	1.62754717027454	3.93383582195424	0.0642195574648853
stdev	5.2266661612969	4.63663534791305	2.41215765562003	308.976618878445	0.0375355136936179	5.96810043480386	4.61758660794622	203.122403555738	440.655787532461	4.63663534791305
variance	27.318039161646	21.4983873495168	5.81850455556634	95466.5510135556	0.00140891478824377	35.618222799906	21.3221060818843	41258.7108262599	194177.523085853	21.4983873495168
median	-42619.65279964	-42320.332126126	-299.057754590346	1258.86562969743	0.0770974114523031	66.9382020693709	44.5137685926436	412.175530308092	3024.91926669753	-42320.332126126
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	1268.61172872421	0.0786596191683071	66.8998368088011	44.4055718475688	429.298985531725	3096.91020062618	NaN
HPD95.lower	-42647.5011054527	-42343.0344671485	-313.747865929646	591.419516430165	0.0154132764623501	50.0168428028812	29.9508523514538	179.035612130224	2406.18355047761	-42343.0344671485
HPD95.upper	-42612.0346527184	-42313.7135178423	-295.896938222162	1869.42385073611	0.153819339197981	77.450750289424	52.3758303823645	866.37988618322	3984.77214276804	-42313.7135178423
ACT	3072.7808243872	3404.88635884686	1511.3353190984	1002.30229155831	1246.76780743511	1072.70053061947	1153.05659397819	1139.52905454357	1414.51446369262	3404.88635884686
ESS	5776.52654531254	5213.09615925373	11744.5809514919	17709.228193426	14236.8128966338	16547.0226716021	15393.8671290715	15576.6102928456	12548.47543493	5213.09615925373
n.samples	17750	17750	17750	17750	17750	17750	17750	17750	17750	17750
chain.length	19721000	19721000	19721000	19721000	19721000	19721000	19721000	19721000	19721000	19721000
log.every	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
