trace	posterior	likelihood	prior	NC	r	tau	x	tree.height	tree.treeLength	treeLikelihood
mean	-51340.334370552	-51064.8541656121	-275.480204939906	8592.23111295474	0.161961303121171	61.4029283280926	43.0985313703506	161.64734892334	3044.42834048815	-51064.8541656121
stderr.of.mean	0.0596166510280375	0.0482848641158127	0.0394371110411235	31.8459403574127	0.000662859518606407	0.0525662668300755	0.0376957759794151	0.437301684628079	0.939210257440606	0.0482848641158127
stdev	5.56045930519109	4.8439135515391	3.37733592534005	3608.52502531733	0.0602569317596028	4.1791174431161	3.65405875960452	18.3203068627974	51.7422972537595	4.8439135515391
variance	30.9187076846862	23.4634984947841	11.4063979525925	13021452.8583414	0.00363089782508143	17.4650226033572	13.3521454186425	335.63364354706	2677.26532509641	23.4634984947841
median	-51340.0570068473	-51064.4520593332	-275.769429842948	7854.99321627898	0.155346339259984	60.1998568943615	43.1252988417809	160.228760125994	3042.24155595169	-51064.4520593332
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	7971.49641026003	0.151072968367934	61.2671981868321	42.9422521654215	161.184376000552	3044.02846310579	NaN
HPD95.lower	-51365.1021526053	-51089.8726778243	-289.78520735726	2358.02551331504	0.020472689272665	53.2344545235164	29.5855612139038	139.473300126029	2897.57797226656	-51089.8726778243
HPD95.upper	-51331.8004799719	-51057.5765726769	-269.376774108812	15240.0755394516	0.269977461161707	69.9943811579291	49.057919629159	174.968698801902	3110.11056035012	-51057.5765726769
ACT	1878.30393749492	1623.60847695489	2227.99246475803	1272.62591402377	1977.33847482786	2585.21798742464	1738.94710783613	9309.98248232564	5383.76743702607	1623.60847695489
ESS	8699.86995916852	10064.6185530196	7334.40541585258	12840.3797376193	8264.13899695276	6320.93698848145	9397.06557281894	1755.21275480617	3035.23511948476	10064.6185530196
n.samples	16341	16341	16341	16341	16341	16341	16341	16341	16341	16341
chain.length	18156000	18156000	18156000	18156000	18156000	18156000	18156000	18156000	18156000	18156000
log.every	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
