trace	posterior	likelihood	prior	NC	r	tau	x	tree.height	tree.treeLength	treeLikelihood
mean	-51990.4011974655	-51657.9435731433	-332.457624322194	8615.90568524259	0.111465743742616	64.7833919422451	45.007882321999	1779.46598371929	9575.44215481539	-51657.9435731433
stderr.of.mean	0.124598777644831	0.102892913312385	0.0408734262711082	25.9399239617922	0.000405946676258522	0.0447405992577038	0.0357861967129393	7.00952587746438	16.7211534987852	0.102892913312385
stdev	6.78226252724843	4.84198049517109	4.20227652722261	3402.63814498455	0.0455186057593238	4.85615487856081	4.27442366769231	922.571045102468	2172.33164923158	4.84198049517109
variance	45.9990849885183	23.4447751156173	17.6591280112461	11577946.3457039	0.00207194347027275	23.58224020457	18.2706976909282	851137.33326146	4719024.79425321	23.4447751156173
median	-51990.1105496369	-51657.5767842493	-332.185933790143	7939.69406395544	0.103546521906043	64.385571140049	44.9403084490423	1564.64630346388	9212.17498042343	-51657.5767842493
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	8047.31410622563	0.103454654822806	64.6044809632669	44.8039110539991	1581.85781477801	9352.06176390551	NaN
HPD95.lower	-52020.8135730822	-51681.1343470335	-354.110035468083	2314.63062454109	0.0221221898273012	50.0437932971839	29.1577721411076	341.402123153268	4973.68066104239	-51681.1343470335
HPD95.upper	-51979.7893646117	-51650.5699098469	-326.167313095281	14978.9982365323	0.195194395387105	73.2136095287302	52.2205508207185	3564.0933181517	13633.5280889535	-51650.5699098469
ACT	6157.75261227554	8238.89035360692	1726.06322919488	1060.35119740984	1451.12205904906	1548.6825368472	1278.85063765339	1053.22585762595	1080.99596923868	8238.89035360692
ESS	2963.09402940716	2214.61862179196	10570.8757891279	17207.5063852147	12573.7183073055	11781.6270061036	14267.4988484036	17323.9195257965	16878.8788480407	2214.61862179196
n.samples	18246	18246	18246	18246	18246	18246	18246	18246	18246	18246
chain.length	20272000	20272000	20272000	20272000	20272000	20272000	20272000	20272000	20272000	20272000
log.every	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
