trace	posterior	likelihood	prior	NC	r	tau	x	tree.height	tree.treeLength	treeLikelihood
mean	-44387.6757734933	-44124.5544699171	-263.12130357615	1954.56773539022	0.168684753078388	66.8944863870018	40.1956441262228	104.851488464944	1941.31204797784	-44124.5544699171
stderr.of.mean	0.0833579343903246	0.0550022053089025	0.097841016883023	4.13505061467828	0.000763706052760658	0.101429723564855	0.032078543537315	0.0218398114908524	0.224502958399228	0.0550022053089025
stdev	5.79295776574312	5.07142655506873	3.89083337845538	528.52644251347	0.0394789306229413	4.92676447060647	2.94450020705786	2.70146317464915	20.1530564352096	5.07142655506873
variance	33.5583596756835	25.7193673034562	15.1385843789025	279340.200435945	0.00155858596313101	24.2730081488302	8.6700814693638	7.29790328398549	406.145683680743	25.7193673034562
median	-44387.5074713398	-44124.1650089204	-263.951348961417	1871.83450746012	0.170281804547104	66.6268914304122	40.1864977396172	104.756620525647	1941.29071935559	-44124.1650089204
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	1889.90404777117	0.16353039849107	66.7150941743467	40.0871111704391	104.816795919091	1941.20746432934	NaN
HPD95.lower	-44414.4358458753	-44155.4485006653	-277.446604825351	777.183048236904	0.0338493432010532	57.1075900885487	26.8455405035579	93.6891882030933	1865.1335300914	-44155.4485006653
HPD95.upper	-44378.393919735	-44116.9525912582	-254.411743061952	2945.28174313131	0.23061170608281	75.4646101067915	44.9702415669552	109.432528009881	1974.52201505815	-44116.9525912582
ACT	3921.68888712259	2227.81897380704	11976.6848861734	1159.33298576335	7087.64045093459	8027.62090957696	2247.94705692694	1237.88311991563	2350.40264926112	2227.81897380704
ESS	4829.80688809748	8502.03729418481	1581.4893837498	16337.8427359492	2672.39854097035	2359.47863175793	8425.9101839762	15301.121483336	8058.6192352848	8502.03729418481
n.samples	18941	18941	18941	18941	18941	18941	18941	18941	18941	18941
chain.length	21044000	21044000	21044000	21044000	21044000	21044000	21044000	21044000	21044000	21044000
log.every	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
