trace	posterior	likelihood	prior	NC	r	tau	x	tree.height	tree.treeLength	treeLikelihood
mean	-44428.657303339	-44185.5507183103	-243.106585028718	3325.66845176669	0.267746722013527	63.8150992224819	44.2777050217873	81.0880920538554	2019.37025632219	-44185.5507183103
stderr.of.mean	0.0792430659962043	0.0838525871791275	0.0380018396476625	10.3595309215622	0.00144854553739092	0.0475548695118432	0.0519736328946072	0.0142647432168485	0.229024778104369	0.0838525871791275
stdev	5.98176708949743	5.67673504145776	2.94440894491668	1079.89218736389	0.0692266185673875	3.45451994261469	2.69202102833643	1.7472639699118	21.3317239929345	5.67673504145776
variance	35.7815375129946	32.2253207309144	8.66954403490535	1166167.13632957	0.00479232471827456	11.9337080339226	7.24697721700554	3.05293138055195	455.042448510737	32.2253207309144
median	-44428.2335269168	-44185.0506458555	-243.3065601344	3130.61565049147	0.269955156272559	62.5587133767839	44.5171512413387	81.0531087952424	2019.20730884642	-44185.0506458555
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	3172.18956658759	0.258158528226994	63.7239906578166	44.1939476087119	81.0692946290381	2019.25761824762	NaN
HPD95.lower	-44464.4770363265	-44224.47823323	-257.132638352733	995.848293591641	0.0565968403247858	56.7220298497635	30.9472025617528	74.8332689981403	1928.30599366634	-44224.47823323
HPD95.upper	-44419.5132449083	-44177.0832930549	-238.00001752592	5335.91419232413	0.38006991635505	70.238626054473	48.2953097031651	84.0114446660466	2054.42395238081	-44177.0832930549
ACT	3022.01550763642	3757.23907942834	2868.4423838184	1584.71996470183	7539.65047794845	3263.23030830164	6418.63084432444	1147.74132560551	1984.93448126606	3757.23907942834
ESS	5698.51476820148	4583.41873805383	6003.60672996186	10866.9041746061	2284.05813377782	5277.28611621125	2682.97093534011	15004.2519301244	8675.85311380949	4583.41873805383
n.samples	17221	17221	17221	17221	17221	17221	17221	17221	17221	17221
chain.length	19133000	19133000	19133000	19133000	19133000	19133000	19133000	19133000	19133000	19133000
log.every	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
