trace	posterior	likelihood	prior	NC	r	tau	x	tree.height	tree.treeLength	treeLikelihood
mean	-46547.6925898657	-46229.4853372612	-318.20725260448	2278.4035474853	0.0985760598403855	63.1612850035226	43.8068388413327	1030.57511595658	5644.87848319756	-46229.4853372612
stderr.of.mean	0.0875073233568774	0.071630135771358	0.0313370567556414	4.72869839426782	0.000405929230171705	0.0496869646600699	0.0335573576248788	4.32545611527926	10.8075091925103	0.071630135771358
stdev	6.23010970747711	4.96197159507452	3.21120451324201	625.946271517663	0.047703923700209	6.13659957934681	4.17826443665072	545.519539670195	1253.62406437816	4.96197159507452
variance	38.8142669672006	24.6211621103264	10.3118344258659	391808.734826864	0.00227566433639536	37.6578543972394	17.4578937025801	297591.568161981	1571573.29478803	24.6211621103264
median	-46547.3256354489	-46229.1684402147	-317.868124409143	2182.64482299756	0.0876372075866964	62.6137833814628	43.6877495308882	898.548954939472	5409.7663364593	-46229.1684402147
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	2200.16644431972	0.0897744596382609	62.8702448748311	43.6072528290387	912.859364970618	5520.50679606314	NaN
HPD95.lower	-46579.4719490237	-46250.3372722967	-338.685479926003	878.58555655915	0.0188902186412388	44.0042874282799	30.1871047089294	229.9706131615	3443.11834800622	-46250.3372722967
HPD95.upper	-46538.0749997396	-46221.8819754909	-313.55973554191	3434.75998765467	0.185547740289697	74.0328307115126	50.8874126934814	2087.41879121877	8024.74502389307	-46221.8819754909
ACT	3525.11552130996	3723.56503462237	1701.59585789068	1019.72967579122	1293.80370152223	1171.40022786542	1152.54956230227	1123.36047889896	1327.9830420656	3723.56503462237
ESS	5069.05373511269	4798.89563733972	10501.318463569	17523.2715338359	13811.2141578944	15254.3934813482	15503.8885827225	15906.7372723616	13455.7441126702	4798.89563733972
n.samples	17869	17869	17869	17869	17869	17869	17869	17869	17869	17869
chain.length	19853000	19853000	19853000	19853000	19853000	19853000	19853000	19853000	19853000	19853000
log.every	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
