trace	posterior	likelihood	prior	NC	r	tau	x	tree.height	tree.treeLength	treeLikelihood
mean	-44013.1995990176	-43729.6657906266	-283.533808390988	1538.4615473864	0.171950216902693	58.6300952245729	40.011683923189	267.729385546183	2356.27073359098	-43729.6657906266
stderr.of.mean	0.0452536376383848	0.0425505154878354	0.0168606521664054	3.23929636226045	0.000691907730802246	0.0423492045579603	0.0344561596435222	0.737092793473927	1.48600639111088	0.0425505154878354
stdev	4.83871095199662	4.42873339044146	2.09197528954023	396.473736501868	0.0590863532946858	4.46418126446647	3.32728358341488	94.6640671242156	190.846267933442	4.42873339044146
variance	23.413123676972	19.6136794436111	4.37636061204694	157191.423735753	0.00349119714566443	19.9289143620134	11.0708160444621	8961.285604498	36422.297984123	19.6136794436111
median	-44012.8785508522	-43729.3229372725	-283.327938291955	1477.99099994579	0.162271249178526	58.9939883814927	40.1834685159695	239.774968605803	2301.51953963516	-43729.3229372725
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	1491.56083282265	0.163134636118546	58.4581115445792	39.871356242281	254.716281264877	2349.18065040801	NaN
HPD95.lower	-44037.6838426149	-43752.7744485679	-294.926048296803	673.23773302467	0.0333564794667413	45.4306418691518	28.7356743129869	140.49574400133	2052.12548779127	-43752.7744485679
HPD95.upper	-44005.8674779036	-43723.0522302718	-280.493037787749	2270.76942623524	0.279707167208427	65.3981645690047	45.2385630723238	459.132754087678	2742.83437468608	-43723.0522302718
ACT	1442.69198605902	1522.56754141949	1071.4246307013	1101.02836546205	2261.76761286829	1484.33819392131	1768.8055654181	1000	1000	1522.56754141949
ESS	11433.4869531363	10833.6737460078	15395.3899577642	14981.4487232377	7292.9685199098	11112.6965994345	9325.50209163382	16495	16495	10833.6737460078
n.samples	16495	16495	16495	16495	16495	16495	16495	16495	16495	16495
chain.length	18327000	18327000	18327000	18327000	18327000	18327000	18327000	18327000	18327000	18327000
log.every	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
