trace	posterior	likelihood	prior	NC	r	tau	x	tree.height	tree.treeLength	treeLikelihood
mean	-44860.647644853	-44598.5709369882	-262.07670786477	2356.62224799637	0.170722750469492	73.9262864864029	39.6439508553515	81.4218406156002	1977.93213020924	-44598.5709369882
stderr.of.mean	0.049788891545243	0.0479330744923039	0.0168049979965526	6.51454570100842	0.000403846199248815	0.0440825337382618	0.046063896345564	0.0130799591239452	0.159290302165482	0.0479330744923039
stdev	5.16888696830253	4.8846468151907	1.93890639420102	690.46904715457	0.027462986482217	4.79081994140112	3.22963327996861	1.4834104745328	20.0343556525917	4.8846468151907
variance	26.7173924910877	23.8597745091527	3.75935800547359	476747.50507854	0.000754215626522433	22.9519557109266	10.4305311230808	2.20050663595363	401.375406414532	23.8597745091527
median	-44860.3039510822	-44598.2738515023	-261.903605343415	2237.05462306655	0.168073489486156	73.2737835816176	39.867994161731	81.3127249388414	1977.71315238152	-44598.2738515023
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	2265.820645931	0.168574523810105	73.7758282374126	39.5097326636724	81.408437504354	1977.83069013992	NaN
HPD95.lower	-44888.2405064929	-44621.8839497557	-279.063109884223	898.354658088051	0.0750176417416756	61.2274312649483	27.6008926629134	76.7183830811162	1906.8016756505	-44621.8839497557
HPD95.upper	-44852.8021002104	-44591.1513345647	-259.258137353139	3644.34163660584	0.219219704249092	83.0272173008908	44.6112660510632	83.9533253773878	2011.23413316543	-44591.1513345647
ACT	1521.55693928816	1579.14351631787	1231.91461780712	1459.81292826353	3546.12334678945	1388.45166041439	3336.04792897226	1274.99198667022	1036.68133216852	1579.14351631787
ESS	10778.4333116528	10385.3765224837	13312.6109252547	11234.3161801615	4624.76862651945	11811.7183821187	4915.99651718804	12862.825940444	15819.711893234	10385.3765224837
n.samples	16400	16400	16400	16400	16400	16400	16400	16400	16400	16400
chain.length	18221000	18221000	18221000	18221000	18221000	18221000	18221000	18221000	18221000	18221000
log.every	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
