trace	posterior	likelihood	prior	NC	r	tau	x	tree.height	tree.treeLength	treeLikelihood
mean	-41257.224090277	-40985.7425875365	-271.481502740482	1425.20247929522	0.11462370931217	69.9338818333858	41.6369419624771	98.9129147151181	1861.47548762802	-40985.7425875365
stderr.of.mean	0.0466002785808635	0.0455460123454514	0.0164339285429391	2.96397971039033	0.000292661427525317	0.0394646790365572	0.0364843052204454	0.0236814515663986	0.171913971533483	0.0455460123454514
stdev	4.95753979855907	4.63907144447812	1.9893649054467	361.312461843348	0.0290887399033511	4.47235403651691	3.75928601557601	2.96096273452886	20.8866048117257	4.63907144447812
variance	24.5772008542971	21.5209838669723	3.95757272702296	130546.695083301	0.000846154789164809	20.0019506279491	14.1322313469053	8.76730031526865	436.250260561203	21.5209838669723
median	-41256.8540520911	-40985.3998960373	-271.394297035688	1369.41679444114	0.112130320762827	69.2887796964117	41.507290049038	98.7112386833508	1861.21689131588	-40985.3998960373
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	1383.23737251554	0.11105405405441	69.7946072534971	41.4679087925503	98.8688834694442	1861.35835659052	NaN
HPD95.lower	-41283.8835505606	-41010.6575956009	-284.534604621012	654.847955777849	0.0219019049262612	58.5705033254038	29.175964687138	90.3125264866366	1789.39415626256	-41010.6575956009
HPD95.upper	-41249.671343337	-40978.7552352377	-268.468713926283	2086.40505582451	0.165005919602994	78.6851439746073	48.144491180996	104.029538486945	1896.30733360946	-40978.7552352377
ACT	1510.21051528608	1647.52297560623	1166.39800107303	1150.21083343442	1730.11128566713	1330.87627106175	1609.88296513716	1093.31079911757	1157.92259932651	1647.52297560623
ESS	11318.2896205448	10374.969122182	14654.5175697106	14860.7537880354	9879.71128886598	12843.4178080007	10617.5420015974	15634.1636923334	14761.7811500889	10374.969122182
n.samples	17093	17093	17093	17093	17093	17093	17093	17093	17093	17093
chain.length	18991000	18991000	18991000	18991000	18991000	18991000	18991000	18991000	18991000	18991000
log.every	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
