trace	posterior	likelihood	prior	NC	r	tau	x	tree.height	tree.treeLength	treeLikelihood
mean	-53929.5775582394	-53608.4945486372	-321.083009602151	9763.90933782315	0.128294055767667	63.8522835317096	39.7192263584581	1457.35408575811	8119.96480896542	-53608.4945486372
stderr.of.mean	0.0907308107260573	0.0802347024058177	0.0381372993020044	33.5013001408541	0.000428681561266648	0.0580518317925738	0.0326678201675718	5.70033273356979	13.8723669342953	0.0802347024058177
stdev	6.53850504719001	5.03939916650036	3.97488604904778	4221.74646673991	0.0420157656990024	6.4643016956218	3.69319172198966	750.489922020555	1757.82171849191	5.03939916650036
variance	42.7520482521292	25.3955439593245	15.7997191029147	17823143.2294309	0.00176532456727347	41.7871964120189	13.6396650953729	563235.123054419	3089937.19400184	25.3955439593245
median	-53929.1239478947	-53608.1539176917	-320.780923730626	8863.26072643541	0.120776364923778	63.0547286623399	39.5384198731181	1285.82157701232	7822.48664778345	-53608.1539176917
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	9017.83091071232	0.122363762371202	63.5321714540215	39.5488134838615	1296.97265281466	7947.38656496975	NaN
HPD95.lower	-53963.6532110913	-53632.5548731475	-341.633248401845	2586.48786481872	0.0252362614355029	42.8389587514329	28.7354070733828	298.000761450429	4615.13785953243	-53632.5548731475
HPD95.upper	-53919.5534070632	-53600.9551865934	-315.143835535554	17684.6745784048	0.204672131534007	76.291069656736	46.0470968403937	2905.71529625345	11404.7252761618	-53600.9551865934
ACT	3613.8543905986	4757.56758155227	1727.70065549347	1181.83546923753	1953.72320999334	1513.58430442013	1468.43456613636	1082.75120897431	1168.87878648821	4757.56758155227
ESS	5193.62375219858	3945.08321285394	10863.5717306244	15881.2292307567	9606.78559992334	12400.3664316476	12781.6386462379	17334.5454102793	16057.2680563309	3945.08321285394
n.samples	18769	18769	18769	18769	18769	18769	18769	18769	18769	18769
chain.length	20854000	20854000	20854000	20854000	20854000	20854000	20854000	20854000	20854000	20854000
log.every	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
