Sample	posterior	likelihood	prior	N0_con	b_log	Ninf_log	t50_log	NInf_gomp	b_gom	t50_gom	b_exp	N0_exp	I	tree.height	tree.treeLength	D.treeLikelihood
0	-22890.76785481367	-22683.709657641957	-207.05819717170934	42.26372214468807	0.06259936993263847	63.832151771674035	573.3387996100768	70.68287910886534	0.03393483737911447	38.78372773709847	0.00907637199692884	723.0108956116417	0	48.34619183179657	247.1013146705107	-22683.709657641957
1000	-22886.735640164326	-22684.524168936972	-202.21147122735294	45.664853767277016	0.034685176840577606	93.10293290498471	177.07869521521312	103.6041156641167	0.02024542315079054	98.9048300285105	0.036582366462730886	199.72500573740575	0	45.68114565239939	240.6684426066616	-22684.524168936972
2000	-22899.300762339517	-22691.84052375317	-207.4602385863459	52.31865402744048	0.11859888383029409	30.88822334419448	190.81595517692278	247.98235262026984	0.0228032535577516	65.91879763508253	0.004715399562005313	733.3084486120416	1	47.078552466772116	245.06709476701448	-22691.84052375317
3000	-22880.023066035654	-22676.615332630212	-203.40773340544342	71.8928642057467	0.04252650948982988	30.88822334419448	152.42240040403777	147.91515004613075	0.008115047865574113	134.45533771416933	0.02438318220024246	315.88178467472017	1	47.078552466772116	246.96116989770906	-22676.615332630212
4000	-22881.153440983846	-22678.78432238132	-202.36911860252272	47.42201037642176	0.04281382499623175	56.73492578640499	292.8144634143751	89.60287692391972	0.01692487861552913	39.17021238611673	0.017375153098752098	255.56557096111212	0	47.078552466772116	250.73479400422028	-22678.78432238132
5000	-22884.553464504497	-22677.788607336017	-206.7648571684821	27.47610596906387	0.014836005496791156	152.39493127185796	87.2195370310011	222.58334759414527	0.008275160820447353	79.72597755898039	0.0064272474529306865	665.1440424167549	0	47.078552466772116	249.78366246698675	-22677.788607336017
6000	-22890.451240619794	-22681.789715509516	-208.66152511027673	41.34467769995415	0.09166376169332624	111.99178132154782	363.3562771088449	469.0195028435384	0.016223739123251684	18.755880299718005	0.004816489496517629	63.256735769736366	0	47.078552466772116	250.3182121315749	-22681.789715509516
7000	-22889.058624072997	-22680.63749941853	-208.42112465446388	51.33521695128919	0.014555991928011046	26.972041920977823	150.90919010170126	139.74315144237016	0.023233234870052005	66.26793989112282	0.0333979255043355	822.3654542847456	1	47.078552466772116	249.58274678416657	-22680.63749941853
8000	-22886.1144074346	-22680.52077340634	-205.59363402826085	58.02594586960989	0.08082792906757374	41.046884213583255	251.44973313396903	219.25372262521813	0.018295020551037305	75.95830918640475	0.0037134221519221694	417.4115393924872	1	44.42396282813635	245.2956660069831	-22680.52077340634
9000	-22880.571200163304	-22675.758233160304	-204.8129670029988	37.23812457415147	0.12221251374365333	35.93631778422907	90.53913611364717	128.6180097491483	0.026851111037524706	91.79793771516141	0.01925930772476202	368.18659141608384	1	45.30063737437138	247.45819414788716	-22675.758233160304
